Date,Open,High,Low,Close ,Adj Close ,Volume
"Apr 1, 2021",48.34,49.24,33,43.4,43.4,"689,661,600"
"Mar 1, 2021",26.14,87.13,24.99,47.46,47.46,"2,718,499,600"
"Feb 1, 2021",79.14,80.5,9.63,25.43,25.43,"3,309,952,000"
"Jan 1, 2021",4.75,120.75,4.27,81.25,81.25,"5,046,059,200"
"Dec 1, 2020",4.28,5.59,3.04,4.71,4.71,"1,005,146,400"
"Nov 1, 2020",2.7,4.86,2.63,4.14,4.14,"645,963,200"
"Oct 1, 2020",2.52,3.97,2.28,2.62,2.62,"1,439,425,200"
"Sep 1, 2020",1.83,2.79,1.47,2.55,2.55,"1,019,247,200"
"Aug 1, 2020",1.01,1.79,1,1.67,1.67,"469,057,600"
"Jul 1, 2020",1.08,1.14,0.94,1,1,"221,976,400"
"Jun 1, 2020",1.03,1.38,1,1.09,1.09,"401,126,800"
"May 1, 2020",1.41,1.54,0.99,1.01,1.01,"214,030,400"
"Apr 1, 2020",0.86,1.62,0.64,1.43,1.43,"398,940,800"
"Mar 1, 2020",0.9,1.27,0.85,0.88,0.88,"401,905,600"
"Feb 1, 2020",0.97,1.13,0.8,0.9,0.9,"223,157,600"
"Jan 1, 2020",1.53,1.62,0.96,0.96,0.96,"324,282,000"
"Dec 1, 2019",1.59,1.73,1.29,1.52,1.52,"484,055,200"
"Nov 1, 2019",1.36,1.6,1.34,1.59,1.59,"227,702,800"
"Oct 1, 2019",1.41,1.65,1.24,1.36,1.36,"420,686,800"
"Sep 1, 2019",0.99,1.41,0.92,1.38,1.38,"837,567,600"
"Aug 1, 2019",1,1.09,0.79,0.99,0.99,"603,640,000"
"Jul 1, 2019",1.38,1.41,0.98,1,1,"619,928,800"
"Jun 1, 2019",1.89,1.96,1.18,1.37,1.37,"681,215,600"
"May 1, 2019",2.16,2.25,1.83,1.89,1.89,"269,686,800"
"Apr 1, 2019",2.57,2.61,2.13,2.16,2.16,"458,060,000"
"Mar 14, 2019",0.095 Dividend ,,,,,
"Mar 1, 2019",2.97,3.03,2.52,2.54,2.46,"268,835,200"
"Feb 1, 2019",2.83,2.98,2.75,2.92,2.83,"218,825,600"
"Jan 1, 2019",3.11,4.22,2.78,2.84,2.74,"428,926,800"
"Dec 10, 2018",0.095 Dividend ,,,,,
"Dec 1, 2018",3.45,3.53,2.89,3.15,2.97,"200,638,000"
"Nov 1, 2018",3.65,3.94,3.04,3.41,3.21,"338,289,200"
"Oct 1, 2018",3.82,3.9,3.41,3.65,3.43,"209,202,800"
"Sep 17, 2018",0.095 Dividend ,,,,,
"Sep 1, 2018",3.29,4.26,3.27,3.82,3.51,"300,573,200"
"Aug 1, 2018",3.61,4.32,3.3,3.32,3.05,"337,704,000"
